Departure,Arrival,quarter,year,Avgfares
ATL,BOS,3,2011,208.61
ATL,CLT,3,2011,147.12
ATL,DEN,3,2011,172.65
ATL,DFW,3,2011,230.69
ATL,DTW,3,2011,204.4
ATL,EWR,3,2011,245.25
ATL,LAX,3,2011,260.82
ATL,LGA,3,2011,186.24
ATL,MCO,3,2011,151.72
ATL,MIA,3,2011,167.51
ATL,MSP,3,2011,228.19
ATL,ORD,3,2011,189.91
ATL,PHL,3,2011,192.63
ATL,SFO,3,2011,289.31
BOS,ATL,3,2011,209.63
BOS,EWR,3,2011,168.3
BOS,LAX,3,2011,288.7
BOS,LGA,3,2011,237.43
BOS,ORD,3,2011,172.66
BOS,PHL,3,2011,232.99
BOS,SFO,3,2011,329.7
CLT,ATL,3,2011,145.31
CLT,LGA,3,2011,151.31
DEN,ATL,3,2011,170.83
DEN,DFW,3,2011,149.17
DEN,LAS,3,2011,124.32
DEN,LAX,3,2011,163.79
DEN,MSP,3,2011,139.42
DEN,ORD,3,2011,191.36
DEN,PHX,3,2011,133.35
DEN,SEA,3,2011,172.07
DEN,SFO,3,2011,190.3
DFW,ATL,3,2011,230.92
DFW,BOS,3,2011,242.97
DFW,DEN,3,2011,150.97
DFW,LAS,3,2011,183.09
DFW,LAX,3,2011,219.4
DFW,LGA,3,2011,344.77
DFW,ORD,3,2011,213.31
DFW,PHL,3,2011,259.61
DFW,SFO,3,2011,228.8
DTW,ATL,3,2011,203.48
DTW,LGA,3,2011,196.5
DTW,ORD,3,2011,146.3
EWR,ATL,3,2011,244.82
EWR,BOS,3,2011,168.39
EWR,LAX,3,2011,373.8
EWR,MCO,3,2011,174.63
EWR,ORD,3,2011,258.58
EWR,SFO,3,2011,408.42
IAH,LAX,3,2011,304.69
IAH,ORD,3,2011,277.45
JFK,LAS,3,2011,280.74
JFK,LAX,3,2011,347.68
JFK,MCO,3,2011,160.69
JFK,MIA,3,2011,186.51
JFK,SFO,3,2011,359.3
LAS,DEN,3,2011,127.66
LAS,DFW,3,2011,187.49
LAS,JFK,3,2011,288.9
LAS,LAX,3,2011,110.59
LAS,ORD,3,2011,200.92
LAS,SFO,3,2011,136.3
LAX,ATL,3,2011,260.97
LAX,BOS,3,2011,293.45
LAX,DEN,3,2011,163.97
LAX,DFW,3,2011,220.23
LAX,EWR,3,2011,379.19
LAX,IAH,3,2011,309.05
LAX,JFK,3,2011,348.77
LAX,LAS,3,2011,105.8
LAX,ORD,3,2011,232.24
LAX,SEA,3,2011,173.05
LAX,SFO,3,2011,120.52
LGA,ATL,3,2011,187.54
LGA,BOS,3,2011,237.9
LGA,CLT,3,2011,151.16
LGA,DFW,3,2011,342.71
LGA,DTW,3,2011,198.21
LGA,MIA,3,2011,187.97
LGA,ORD,3,2011,179.89
MCO,ATL,3,2011,153.08
MCO,EWR,3,2011,176.57
MCO,PHL,3,2011,155.24
MIA,ATL,3,2011,168.29
MIA,JFK,3,2011,191.26
MIA,LGA,3,2011,189.88
MSP,ATL,3,2011,230.27
MSP,DEN,3,2011,140.61
MSP,ORD,3,2011,130.82
ORD,ATL,3,2011,188.62
ORD,BOS,3,2011,173.38
ORD,DEN,3,2011,191.54
ORD,DFW,3,2011,211.2
ORD,DTW,3,2011,145.51
ORD,EWR,3,2011,263.12
ORD,IAH,3,2011,277.48
ORD,LAS,3,2011,196.22
ORD,LAX,3,2011,231.96
ORD,LGA,3,2011,179.37
ORD,MSP,3,2011,130.11
ORD,PHL,3,2011,215.79
ORD,PHX,3,2011,235.07
ORD,SEA,3,2011,260.47
ORD,SFO,3,2011,273.21
PHL,ATL,3,2011,192.87
PHL,BOS,3,2011,234.13
PHL,DFW,3,2011,258.03
PHL,MCO,3,2011,154.16
PHL,ORD,3,2011,213.42
PHX,DEN,3,2011,132.32
PHX,ORD,3,2011,236.03
SEA,DEN,3,2011,172.81
SEA,LAX,3,2011,172.35
SEA,ORD,3,2011,259.23
SEA,SFO,3,2011,163.95
SFO,ATL,3,2011,289.95
SFO,BOS,3,2011,332.45
SFO,DEN,3,2011,192.12
SFO,DFW,3,2011,229.92
SFO,EWR,3,2011,409.93
SFO,JFK,3,2011,358.82
SFO,LAS,3,2011,130.89
SFO,LAX,3,2011,120.67
SFO,ORD,3,2011,272.1
SFO,SEA,3,2011,164.51
ATL,BOS,4,2011,208.61
ATL,CLT,4,2011,147.12
ATL,DEN,4,2011,172.65
ATL,DFW,4,2011,230.69
ATL,DTW,4,2011,204.4
ATL,EWR,4,2011,245.25
ATL,LAX,4,2011,260.82
ATL,LGA,4,2011,186.24
ATL,MCO,4,2011,151.72
ATL,MIA,4,2011,167.51
ATL,MSP,4,2011,228.19
ATL,ORD,4,2011,189.91
ATL,PHL,4,2011,192.63
ATL,SFO,4,2011,289.31
BOS,ATL,4,2011,209.63
BOS,EWR,4,2011,168.3
BOS,LAX,4,2011,288.7
BOS,LGA,4,2011,237.43
BOS,ORD,4,2011,172.66
